Fréquence (Hz)	Niveau (dB)
780,578613	-68,568680
783,270264	-71,811844
785,961914	-75,956223
788,653564	-83,895042
791,345215	-83,754303
794,036865	-83,722122
796,728516	-83,904144
799,420166	-82,454216
802,111816	-84,639465
804,803467	-83,675919
807,495117	-83,500488
810,186768	-83,370728
812,878418	-83,357552
815,570068	-84,779739
818,261719	-83,599144
820,953369	-85,629944
823,645020	-85,684608
826,336670	-84,712433
829,028320	-86,084663
831,719971	-86,056114
834,411621	-85,010132
837,103271	-81,948631
839,794922	-83,676338
842,486572	-85,263329
845,178223	-84,464546
847,869873	-83,412720
850,561523	-83,972183
853,253174	-83,473503
855,944824	-82,366379
858,636475	-83,556328
861,328125	-84,081192
864,019775	-84,033287
866,711426	-83,984436
869,403076	-84,629021
872,094727	-85,353157
874,786377	-85,727257
877,478027	-85,443512
880,169678	-86,232712
882,861328	-85,598114
885,552979	-84,551598
888,244629	-85,827484
890,936279	-84,498505
893,627930	-83,224449
896,319580	-82,201508
899,011230	-83,481064
901,702881	-84,995132
904,394531	-83,288048
907,086182	-85,044510
909,777832	-85,557899
912,469482	-86,430893
915,161133	-85,756828
917,852783	-85,783890
920,544434	-85,716377
923,236084	-84,865547
925,927734	-85,653198
928,619385	-85,602982
931,311035	-84,512268
934,002686	-85,581787
936,694336	-85,669624
939,385986	-85,313644
942,077637	-87,636337
944,769287	-88,548180
947,460938	-84,693016
950,152588	-84,964256
952,844238	-86,322784
955,535889	-86,042587
958,227539	-84,574249
960,919189	-85,571419
963,610840	-87,343834
966,302490	-85,336288
968,994141	-85,239822
971,685791	-85,115944
974,377441	-85,608147
977,069092	-86,078659
979,760742	-85,941452
982,452393	-86,075188
985,144043	-84,516365
987,835693	-84,521889
990,527344	-84,001266
993,218994	-85,220070
995,910645	-85,332787
998,602295	-84,992767
1001,293945	-87,974785
1003,985596	-86,100311
1006,677246	-83,953400
1009,368896	-83,515480
1012,060547	-85,180931
1014,752197	-85,573929
1017,443848	-85,571625
1020,135498	-85,527931
1022,827148	-86,677109
1025,518799	-84,590553
1028,210449	-83,932297
1030,902100	-84,692612
1033,593750	-83,568375
1036,285400	-81,537369
1038,977051	-73,983574
1041,668701	-58,622822
1044,360352	-42,865139
1047,052002	-42,273384
1049,743652	-50,773674
1052,435303	-48,999794
1055,126953	-61,605495
1057,818604	-78,235268
1060,510254	-82,396614
1063,201904	-85,719330
1065,893555	-83,999657
1068,585205	-85,135681
1071,276855	-85,884529
1073,968506	-87,811249
1076,660156	-85,643898
1079,351807	-85,824097
1082,043457	-85,871300
1084,735107	-84,465950
1087,426758	-85,548721
1090,118408	-86,747002
1092,810059	-85,092087
1095,501709	-84,400291
1098,193359	-85,990028
1100,885010	-86,932770
1103,576660	-85,532768
1106,268311	-85,062798
1108,959961	-84,534615
1111,651611	-86,613571
1114,343262	-85,838989
1117,034912	-84,814117
1119,726563	-85,856247
1122,418213	-87,512665
1125,109863	-87,184143
1127,801514	-84,812981
