Temps	Pendule
0	46.6101553975604
0.03	49.5461572296917
0.06	46.5649861386046
0.09	42.0932295019738
0.12	34.0079321488738
0.15	25.1095881345682
0.18	15.3078589411452
0.21	4.46723679173738
0.24	-5.87652350915596
0.27	-16.7623149175197
0.3	-27.3319215131924
0.33	-37.1336507066153
0.36	-46.7095336052589
0.39	-55.6530468785204
0.42	-63.19631312415
0.45	-64.3707138570026
0.48	-39.256605877541
0.51	-7.36710905469954
0.54	18.7407226217911
0.57	38.8410428571515
0.6	54.0630831252784
0.63	64.4068434261717
0.66	63.7293045418337
0.69	35.5436869533733
0.72	5.5061297477223
0.75	-18.8401008294895
0.78	-35.9592499737628
0.81	-45.5803021313623
0.84	-50.1423972859047
0.87	-50.1423972859047
0.9	-46.8450413821265
0.93	-40.2503295745701
0.96	-32.5715555520728
0.99	-23.7635500556789
1.02	-12.7422508704476
1.05	-2.66950612328947
1.08	7.9001004723832
1.11	19.0569074344821
1.14	29.1296521816403
1.17	40.015443590004
1.2	48.9589568632655
1.23	57.7669623596594
1.26	65.5812441590242
1.29	57.224931252189
1.32	28.7231288510375
1.35	-1.63061316730455
1.38	-25.6606589318253
1.41	-44.0897165858187
1.44	-57.5953250136226
1.47	-66.8098538406193
1.5	-60.3506498099305
1.53	-31.6230011139996
1.56	-1.72095168521628
1.59	21.81223223079
1.62	37.3956265705638
1.65	46.8360016923398
1.68	49.8171727834269
1.71	49.3654801938683
1.74	44.7582157803699
1.77	39.2023969287984
1.8	30.0330373607576
1.83	20.9991855695844
1.86	10.5199174918234
1.89	-0.230366139672697
1.92	-10.6192956995219
1.95	-21.2792408131063
1.98	-31.848847408779
2.01	-40.6568529051729
2.04	-50.2779050627723
2.07	-58.9504027822986
2.1	-65.1837605182081
2.13	-63.1059746062383
2.16	-35.8237421968952
2.19	-3.75356833823025
2.22	21.9025707487017
2.25	41.7318754303269
2.28	56.6377308857627
2.31	57.1797619932331
2.34	32.4721773443744
2.37	2.7056356924586
2.4	-20.9630560004152
2.43	-37.5401740372181
2.46	-47.7484265612438
2.49	-52.3105217157863
2.52	-52.1750139389187
2.55	-49.1486735888757
2.58	-43.63802399626
2.61	-35.5075573842041
2.64	-26.8350596646778
2.67	-17.3495152839459
2.7	-6.10236980393529
2.73	4.10588272009045
2.76	15.2175204232335
2.79	25.4257729472592
2.82	35.3178406585939
2.85	45.2099083699286
2.88	53.7468983125873
2.91	62.4193960321136
2.94	68.336568955332
2.97	49.9978498192504
3	18.3793685501441
3.03	-10.6192956995219
3.06	-32.7070633289404
3.09	-49.8262124732137
3.12	-62.0670816502534
3.15	-52.1750139389187
3.18	-24.07973486837
3.21	3.97037494322285
3.24	26.3743273853324
3.27	40.692982474342
3.3	49.7268342655152
3.33	52.0304664722644
3.36	51.7594509185292
3.39	46.4746476206928
3.42	40.6026439564303
3.45	31.8398077189922
3.48	22.3090940793045
3.51	12.4621956269257
3.54	1.75708125438541
3.57	-8.85769460024312
3.6	-18.7949315705337
3.63	-29.2741996482946
3.66	-39.3469443954527
3.69	-47.341903230641
3.72	-56.4209242807701
3.75	-64.3255445980467
3.78	-70.0620404854417
3.81	-54.2527998508886
3.84	-23.1763496892527
3.87	6.63536122161895
3.9	31.1170995756984
3.93	48.8234490863979
3.96	42.4997528325766
3.99	15.6692130127922
4.02	-10.7096342174336
4.05	-30.2679233453237
4.08	-44.4059013985097
