Temps	Pendule{1}	Temps	Pendule{2}
0	-5.79889170080423	0	-0.2203364004381
0.03	-6.92532728612423	0.03	-0.265303186140954
0.06	-7.37590152025223	0.06	0.409198599401861
0.09	-6.70004016906023	0.09	1.89310252759606
0.12	-7.06049955636263	0.12	1.93806931329891
0.15	-7.19567182660103	0.15	2.25283681321889
0.18	-6.47475305199623	0.18	3.10720574157313
0.21	-6.47475305199623	0.21	3.37700645579025
0.24	-5.52854716032743	0.24	4.32130895555019
0.27	-4.67245611548424	0.27	4.54614288406447
0.3	-3.90647991746664	0.3	4.9058771696873
0.33	-3.36579083651304	0.33	4.72601002687588
0.36	-2.37452752143145	0.36	4.99581074109301
0.39	-1.20303451269865	0.39	5.08574431249872
0.42	-0.527173161506653	0.42	4.63607645547017
0.45	1.50041089206934	0.45	5.53541216952726
0.48	1.54546831548214	0.48	4.32130895555019
0.51	2.13121481984854	0.51	3.73674074141309
0.54	3.21259298175573	0.54	3.64680717000738
0.57	4.06868402659893	0.57	3.10720574157313
0.6	4.38408599048853	0.6	1.93806931329891
0.63	4.60937310755253	0.63	1.03873359924182
0.66	5.10500476509333	0.66	0.319265027996153
0.69	5.19511961191893	0.69	-0.535103900358081
0.72	5.33029188215733	0.72	-1.29953925730661
0.75	5.51052157580852	0.75	-2.10894139995798
0.78	5.10500476509333	0.78	-3.00827711401507
0.81	6.09626808017492	0.81	-2.7834431855008
0.84	5.01488991826773	0.84	-4.17741354228929
0.87	4.47420083731413	0.87	-4.76198175642639
0.9	3.84339690953493	0.9	-5.39151675626636
0.93	3.03236328810453	0.93	-5.70628425618634
0.96	3.21259298175573	0.96	-5.07674925634638
0.99	1.54546831548214	0.99	-6.38078604172915
1.02	0.869606964290142	1.02	-5.97608497040346
1.05	0.148688189685345	1.05	-6.15595211321488
1.08	-0.617288008332253	1.08	-5.88615139899775
1.11	-1.74372359365225	1.11	-5.79621782759204
1.14	-2.50969979166985	1.14	-5.39151675626636
1.17	-3.32073341310024	1.17	-4.8519153278321
1.2	-3.41084825992584	1.2	-3.36801139963791
1.23	-4.31199672818184	1.23	-3.14317747112364
1.26	-4.53728384524584	1.26	-2.15390818566084
1.29	-4.58234126865864	1.29	-0.93980497168377
1.32	-5.34831746667623	1.32	-0.490137114655226
1.35	-5.30326004326344	1.35	0.454165385104716
1.38	-5.75383427739143	1.38	1.12866717064753
1.41	-4.13176703453064	1.41	3.51190681289881
1.44	-4.67245611548424	1.44	4.09647502703592
1.47	-5.21314519643784	1.47	4.00654145563021
1.5	-5.16808777302504	1.5	4.77097681257874
1.53	-3.99659476429224	1.53	5.62534574093297
1.56	-3.00533144921064	1.56	6.79448216920719
1.59	-2.59981463849545	1.59	6.3897810978815
1.62	-1.78878101706505	1.62	7.19918324053288
1.65	-1.51843647658825	1.65	7.06428288342431
1.68	-1.51843647658825	1.68	6.83944895491004
1.71	-0.797517701983452	1.71	6.20991395507008
1.74	2.62684647738934	1.74	8.27838609740138
1.77	1.04983665794134	1.77	5.62534574093297
1.8	4.47420083731413	1.8	8.90792109724134
1.83	0.103630766272545	1.83	2.97230538446456
1.86	0.238803036510944	1.86	2.837405027356
1.89	1.81581285595894	1.89	1.53336824197322
1.92	4.20385629683733	1.92	3.55687359860167
1.95	5.46546415239573	1.95	2.29780359892175
1.98	11.5482163131237	1.98	8.50322002591565
2.01	6.77212943136692	2.01	2.20787002751604
2.04	9.92614907026291	2.04	4.14144181273878
2.07	5.55557899922132	2.07	-1.34450604300946
2.1	5.46546415239573	2.1	-2.2888085427694
2.13	3.34776525199413	2.13	-4.98681568494067
2.16	2.94224844127893	2.16	-5.79621782759204
2.19	2.53673163056374	2.19	-6.47071961313486
2.22	2.26638709008694	2.22	-6.9203874701634
2.25	1.72569800913334	2.25	-7.28012175578624
2.28	1.23006635159254	2.28	-7.50495568430051
2.31	0.824549540877342	2.31	-7.45998889859766
2.34	0.283860459923744	2.34	-7.37005532719195
2.37	-0.166713774204254	2.37	-7.10025461297482
2.4	-0.617288008332253	2.4	-6.65058675594628
2.43	-0.842575125396252	2.43	-5.79621782759204
2.46	-1.51843647658825	2.46	-5.30158318486065
2.49	-1.96901071071625	2.49	-4.53714782791212
2.52	-2.50969979166985	2.52	-3.86264604236931
2.55	-2.10418298095465	2.55	-2.15390818566084
2.58	-2.82510175555944	2.58	-1.65927354292944
2.61	-2.96027402579784	2.61	-0.445170328952372
2.64	-3.59107795357704	2.64	0.364231813699007
2.67	-2.28441267460585	2.67	2.65753788454458
2.7	-3.36579083651304	2.7	2.61257109884173
2.73	-2.28441267460585	2.73	4.72601002687588
2.76	-2.87015917897224	2.76	4.95084395539016
2.79	-2.73498690873384	2.79	5.67031252663583
2.82	-2.96027402579784	2.82	6.16494716936722
2.85	-2.73498690873384	2.85	6.79448216920719
2.88	-2.41958494484425	2.88	7.10924966912717
2.91	-2.14924040436745	2.91	7.42401716904715
2.94	-1.74372359365225	2.94	7.51395074045286
2.97	-1.02280481904745	2.97	8.18845252599567
3	-0.0315415039658546	3	8.32335288310424
3.03	-0.752460278570652	3.03	6.83944895491004
3.06	-0.572230584919453	3.06	6.47971466928721
3.09	-0.346943467855454	3.09	5.62534574093297
3.12	0.779492117464542	3.12	5.71527931233868
3.15	1.36523862183094	3.15	4.72601002687588
3.18	0.689377270638943	3.18	2.88237181305885
3.21	0.599262423813343	3.21	1.8481357418932
3.24	1.36523862183094	3.24	1.26356752775609
3.27	1.23006635159254	3.27	-0.445170328952372
3.3	1.41029604524374	3.3	-1.52437318582088
