Temps	Pendule{1}	Temps	Pendule{2}	Var
1.68	-8.09682029485703	1.68	-7.59488925570622	
1.69	-7.37590152025223	1.69	-7.05528782727197	
1.7	-7.51107379049063	1.7	-7.23515497008339	
1.71	-7.28578667342663	1.71	-6.65058675594628	
1.72	-7.28578667342663	1.72	-6.87542068446055	
1.73	-5.93406397104263	1.73	-5.61635068478063	
1.74	-6.79015501588583	1.74	-6.3358192560263	
1.75	-6.24946593493223	1.75	-5.66131747048348	
1.76	-6.38463820517063	1.76	-5.75125104188919	
1.77	-5.48348973691463	1.77	-4.8519153278321	
1.78	-5.52854716032743	1.78	-5.03178247064352	
1.79	-4.53728384524584	1.79	-3.95257961377501	
1.8	-4.76257096230984	1.8	-4.31231389939785	
1.81	-4.62739869207144	1.81	-3.81767925666645	
1.82	-4.13176703453064	1.82	-3.59284532815218	
1.83	-4.13176703453064	1.83	-3.32304461393505	
1.84	-2.78004433214664	1.84	-2.10894139995798	
1.85	-2.96027402579784	1.85	-2.42370889987797	
1.86	-2.46464236825705	1.86	-1.7042403286323	
1.87	-2.19429782778025	1.87	-1.56933997152373	
1.88	-2.28441267460585	1.88	-1.43443961441517	
1.89	-0.842575125396252	1.89	-0.2203364004381	
1.9	-1.02280481904745	1.9	-0.445170328952372	
1.91	-0.437058314681053	1.91	0.319265027996153	
1.92	-0.437058314681053	1.92	0.184364670887589	
1.93	-0.211771197617054	1.93	0.634032527916133	
1.94	0.644319847226143	1.94	1.17363395635039	
1.95	0.554205000400543	1.95	1.26356752775609	
1.96	1.50041089206934	1.96	1.98303609900177	
1.97	1.36523862183094	1.97	2.16290324181318	
1.98	2.13121481984854	1.98	2.70250467024744	
1.99	2.13121481984854	1.99	2.92733859876171	
2	3.57305236905813	2	4.05150824133307	
2.01	2.76201874762774	2.01	3.60184038430452	
2.02	3.52799494564533	2.02	4.00654145563021	
2.03	4.24891372025013	2.03	4.95084395539016	
2.04	4.15879887342453	2.04	4.63607645547017	
2.05	4.20385629683733	2.05	4.86091038398445	
2.06	5.51052157580853	2.06	5.98508002655581	
2.07	5.19511961191893	2.07	5.67031252663583	
2.08	6.32155519723892	2.08	6.74951538350433	
2.09	5.42040672898293	2.09	5.94011324085295	
2.1	5.91603838652372	2.1	6.3897810978815	
2.11	6.05121065676212	2.11	6.70454859780148	
2.12	6.36661262065172	2.12	6.70454859780148	
2.13	7.08753139525652	2.13	7.64885109756142	
2.14	6.54684231430292	2.14	6.9743493120186	
2.15	7.76339274644852	2.15	8.09851895458996	
2.16	7.08753139525652	2.16	7.37905038334429	
2.17	7.76339274644852	2.17	8.14348574029282	
2.18	7.26776108890772	2.18	7.51395074045286	
2.19	7.62822047621012	2.19	8.09851895458996	
2.2	7.40293335914612	2.2	7.60388431185856	
2.21	7.13258881866932	2.21	7.42401716904715	
2.22	8.34913925081491	2.22	8.50322002591565	
2.23	7.53810562938452	2.23	7.73878466896713	
2.24	7.22270366549492	2.24	7.37905038334429	
2.25	8.30408182740211	2.25	8.27838609740138	
2.26	7.17764624208212	2.26	7.24415002623573	
2.27	8.07879471033812	2.27	7.9636185974814	
2.28	6.77212943136692	2.28	6.92938252631575	
2.29	7.80845016986132	2.29	7.73878466896713	
2.3	6.77212943136692	2.3	6.70454859780148	
2.31	7.22270366549492	2.31	7.28911681193858	
2.32	6.59189973771572	2.32	6.4797146692872	
2.33	5.96109580993652	2.33	6.07501359796152	
2.34	6.54684231430292	2.34	6.29984752647579	
2.35	5.82592353969812	2.35	5.67031252663583	
2.36	6.36661262065172	2.36	6.11998038366437	
2.37	5.46546415239573	2.37	5.17567788390443	
2.38	5.69075126945972	2.38	5.58037895523012	
2.39	4.69948795437813	2.39	4.36627574125305	
2.4	4.78960280120373	2.4	4.50117609836161	
2.41	3.79833948612213	2.41	3.73674074141309	
2.42	3.88845433294773	2.42	3.60184038430452	
2.43	3.34776525199413	2.43	2.97230538446456	
2.44	3.25765040516853	2.44	2.837405027356	
2.45	3.21259298175573	2.45	3.01727217016742	
2.46	2.35650193691254	2.46	1.98303609900177	
2.47	2.40155936032534	2.47	2.20787002751604	
2.48	1.72569800913334	2.48	1.26356752775609	
2.49	1.04983665794134	2.49	0.634032527916133	
2.5	1.13995150476694	2.5	0.589065742213279	
2.51	0.148688189685345	2.51	-0.2203364004381	
2.52	0.148688189685345	2.52	-0.355236757546663	
2.53	-0.707402855157852	2.53	-0.984771757386625	
2.54	0.148688189685345	2.54	-0.445170328952372	
2.55	-1.15797708928585	2.55	-1.65927354292944	
2.56	-0.752460278570652	2.56	-1.29953925730661	
2.57	-1.74372359365225	2.57	-2.2888085427694	
2.58	-2.68992948532104	2.58	-3.00827711401507	
2.59	-2.55475721508265	2.59	-3.14317747112364	
2.6	-2.91521660238504	2.6	-3.18814425682649	
2.61	-3.27567598968744	2.61	-3.81767925666645	
2.62	-4.08670961111784	2.62	-4.49218104220927	
2.63	-3.27567598968744	2.63	-3.95257961377501	
2.64	-4.76257096230984	2.64	-5.16668282775208	
2.65	-4.67245611548424	2.65	-5.21164961345494	
2.66	-5.43843231350183	2.66	-5.75125104188919	
2.67	-5.48348973691463	2.67	-5.75125104188919	
2.68	-5.66371943056583	2.68	-6.15595211321488	
2.69	-6.02417881786823	2.69	-6.24588568462059	
2.7	-5.61866200715303	2.7	-6.06601854180917	
2.71	-6.42969562858343	2.71	-6.9203874701634	
2.72	-5.93406397104263	2.72	-6.29085247032344	
2.73	-7.10555697977543	2.73	-7.45998889859766	
2.74	-7.15061440318823	2.74	-7.23515497008339	
2.75	-6.38463820517063	2.75	-6.8304538987577	
2.76	-7.73636090755463	2.76	-7.95462354132906	
2.77	-7.42095894366503	2.77	-7.77475639851764	
2.78	-7.82647575438023	2.78	-7.9096567556262	
2.79	-7.51107379049063	2.79	-7.81972318422049	
2.8	-8.05176287144423	2.8	-8.08952389843762	
2.81	-7.15061440318823	2.81	-7.50495568430051	
2.82	-8.23199256509542	2.82	-8.26939104124904	
2.83	-7.82647575438023	2.83	-8.04455711273476	
2.84	-7.82647575438023	2.84	-7.81972318422049	
2.85	-7.82647575438023	2.85	-8.04455711273476	
2.86	-7.69130348414183	2.86	-7.63985604140908	
2.87	-7.69130348414183	2.87	-7.77475639851764	
2.88	-8.00670544803143	2.88	-7.86468996992335	
2.89	-7.51107379049063	2.89	-7.54992247000337	
2.9	-6.60992532223463	2.9	-6.65058675594628	
2.91	-7.33084409683943	2.91	-7.32508854148909	
2.92	-6.38463820517063	2.92	-6.3358192560263	
2.93	-7.15061440318823	2.93	-7.05528782727197	
2.94	-6.51981047540903	2.94	-6.15595211321488	
2.95	-6.70004016906023	2.95	-6.51568639883772	
2.96	-5.84394912421703	2.96	-5.75125104188919	
2.97	-6.38463820517063	2.97	-6.06601854180917	
2.98	-5.66371943056583	2.98	-5.39151675626636	
2.99	-5.61866200715303	2.99	-5.39151675626636	
3	-4.94280065596104	3	-4.44721425650641	
3.01	-4.89774323254824	3.01	-4.62708139931783	
3.02	-3.68119280040264	3.02	-3.41297818534076	
3.03	-4.17682445794344	3.03	-3.81767925666645	
3.04	-4.22188188135624	3.04	-3.63781211385503	
3.05	-3.41084825992584	3.05	-3.05324389971793	
3.06	-2.50969979166985	3.06	-2.01900782855228	
3.07	-3.00533144921064	3.07	-2.51364247128367	
3.08	-1.56349390000105	3.08	-1.11967211449519	
3.09	-2.41958494484425	3.09	-1.794173900038	
3.1	-1.60855132341385	3.1	-1.16463890019804	
3.11	-1.60855132341385	3.11	-0.894838185980916	
3.12	-0.797517701983452	3.12	-0.310269971843809	
3.13	-0.842575125396252	3.13	-0.175369614735246	
3.14	-0.0315415039658546	3.14	0.454165385104716	
3.15	0.103630766272545	3.15	0.678999313618988	
3.16	0.328917883336544	3.16	1.08370038494468	
3.17	1.90592770278454	3.17	2.43270395603031	
3.18	1.36523862183094	3.18	1.98303609900177	
3.19	2.71696132421494	3.19	3.28707288438454	
3.2	1.95098512619734	3.2	2.61257109884173	
3.21	3.39282267540693	3.21	3.9166078842245	
3.22	2.71696132421494	3.22	3.64680717000738	
3.23	3.61810979247093	3.23	4.18640859844163	
3.24	3.21259298175573	3.24	4.09647502703592	
3.25	3.93351175636053	3.25	4.59110966976732	
3.26	4.33902856707573	3.26	5.22064466960728	
3.27	4.51925826072693	3.27	5.22064466960728	
3.28	4.69948795437813	3.28	5.62534574093297	
3.29	5.24017703533173	3.29	5.8951464551501	
3.3	5.05994734168053	3.3	5.85017966944724	
3.31	6.00615323334932	3.31	6.65958181209862	
3.32	5.60063642263412	3.32	6.29984752647579	
3.33	6.99741654843092	3.33	7.55891752615571	
3.34	6.05121065676212	3.34	6.74951538350433	
3.35	7.31281851232052	3.35	7.91865181177855	
3.36	6.72707200795412	3.36	7.24415002623573	
3.37	6.90730170160532	3.37	7.73878466896713	
3.38	6.99741654843092	3.38	7.55891752615571	
3.39	6.77212943136692	3.39	7.60388431185856	
3.4	7.08753139525652	3.4	7.64885109756142	
3.41	7.35787593573332	3.41	8.14348574029282	
3.42	7.22270366549492	3.42	7.69381788326427	
3.43	6.86224427819252	3.43	7.60388431185856	
3.44	7.35787593573332	3.44	7.78375145466998	
3.45	6.99741654843092	3.45	7.73878466896713	
3.46	7.17764624208212	3.46	7.51395074045286	
3.47	7.62822047621012	3.47	8.18845252599567	
3.48	7.04247397184372	3.48	7.33408359764144	
3.49	7.71833532303572	3.49	8.00858538318425	
3.5	6.50178489089012	3.5	7.10924966912717	
3.51	6.77212943136692	3.51	7.06428288342431	
3.52	7.44799078255892	3.52	7.69381788326427	
3.53	6.41167004406452	3.53	6.65958181209862	
3.54	6.54684231430292	3.54	6.9743493120186	
3.55	6.09626808017492	3.55	6.25488074077293	
3.56	6.72707200795412	3.56	6.88441574061289	
3.57	5.55557899922132	3.57	5.67031252663583	
3.58	6.14132550358772	3.58	6.20991395507008	
3.59	4.65443053096533	3.59	4.86091038398445	
3.6	5.60063642263412	3.6	5.53541216952726	
3.61	4.29397114366293	3.61	4.32130895555019	
3.62	4.20385629683733	3.62	4.45620931265876	
3.63	4.42914341390133	3.63	4.27634216984734	
3.64	3.07742071151733	3.64	3.24210609868169	
3.65	3.97856917977333	3.65	3.9166078842245	
3.66	2.40155936032534	3.66	2.47767074173316	
3.67	3.21259298175573	3.67	2.97230538446456	
3.68	1.77075543254614	3.68	1.71323538478464	
3.69	1.77075543254614	3.69	1.8481357418932	
3.7	1.27512377500534	3.7	0.993766813538969	
3.71	0.599262423813343	3.71	0.544098956510425	
3.72	1.36523862183094	3.72	0.948800027836114	
3.73	0.058573342859745	3.73	-0.265303186140954	
3.74	0.599262423813343	3.74	0.229331456590444	
3.75	-0.527173161506653	3.75	-0.894838185980916	
3.76	-0.797517701983452	3.76	-0.984771757386625	
3.77	-1.29314935952425	3.77	-1.83914068574086	
3.78	-0.752460278570652	3.78	-1.38947282871231	
3.79	-2.05912555754185	3.79	-2.60357604268938	
3.8	-1.83383844047785	3.8	-2.24384175706655	
3.81	-2.73498690873384	3.81	-3.41297818534076	
3.82	-2.82510175555944	3.82	-3.14317747112364	
3.83	-3.32073341310024	3.83	-3.95257961377501	
3.84	-3.77130764722824	3.84	-4.08747997088358	
3.85	-4.04165218770504	3.85	-4.71701497072354	
3.86	-4.76257096230984	3.86	-5.12171604204923	
3.87	-4.71751353889704	3.87	-5.3465499705635	
3.88	-4.53728384524584	3.88	-4.98681568494067	
3.89	-5.30326004326344	3.89	-5.88615139899775	
3.9	-5.48348973691463	3.9	-5.8411846132949	
3.91	-5.84394912421703	3.91	-6.47071961313486	
3.92	-6.51981047540903	3.92	-6.96535425586626	
3.93	-5.52854716032743	3.93	-6.11098532751203	
3.94	-6.88026986271143	3.94	-7.4150221128948	
3.95	-6.60992532223463	3.95	-7.19018818438053	
3.96	-7.06049955636263	3.96	-7.63985604140908	
3.97	-7.37590152025223	3.97	-7.63985604140908	
3.98	-7.19567182660103	3.98	-7.77475639851764	
3.99	-7.64624606072903	3.99	-7.95462354132906	
4	-7.55613121390343	4	-8.08952389843762	
4.01	-7.69130348414183	4.01	-7.95462354132906	
4.02	-7.55613121390343	4.02	-8.08952389843762	
4.03	-7.96164802461863	4.03	-8.22442425554618	
4.04	-7.64624606072903	4.04	-8.08952389843762	
4.05	-8.05176287144423	4.05	-8.31435782695189	
4.06	-7.15061440318823	4.06	-7.68482282711193	
4.07	-7.91659060120583	4.07	-8.26939104124904	
4.08	-7.15061440318823	4.08	-7.4150221128948	
4.09	-7.55613121390343	4.09	-7.95462354132906	
4.1	-7.42095894366503	4.1	-7.54992247000337	
4.11	-7.24072925001383	4.11	-7.63985604140908	
4.12	-6.33958078175783	4.12	-6.65058675594628	
4.13	-6.97038470953703	4.13	-7.28012175578624	
4.14	-6.29452335834503	4.14	-6.38078604172915	
